,0
975,transit
976,transit
977,transit
978,transit
979,stable
980,transit
981,transit
982,transit
983,transit
984,transit
985,transit
986,transit
987,transit
988,transit
989,transit
990,transit
991,stable
992,transit
993,transit
994,transit
995,transit
996,transit
997,transit
998,transit
999,transit
1000,transit
1001,transit
1002,transit
1003,transit
1004,transit
1005,transit
1006,transit
1007,transit
1008,transit
1009,stable
1010,transit
1011,transit
1012,transit
1013,transit
1014,transit
1015,stable
1016,transit
1017,transit
1018,transit
1019,transit
1020,transit
1021,stable
1022,transit
1023,transit
1024,transit
1025,transit
1026,transit
1027,transit
1028,transit
1029,stable
1030,transit
1031,transit
1032,transit
1033,transit
1034,transit
1035,transit
1036,transit
1037,transit
1038,transit
1039,transit
1040,transit
1041,transit
1042,transit
1043,transit
1044,transit
1045,transit
1046,transit
1047,transit
1048,transit
1049,transit
1050,transit
1051,transit
1052,transit
1053,transit
1054,transit
1055,transit
1056,transit
1057,transit
1058,transit
1059,transit
1060,transit
1061,transit
1062,transit
1063,transit
1064,transit
1065,transit
1066,transit
1067,transit
1068,transit
1069,transit
1070,transit
1071,transit
1072,transit
1073,transit
1074,transit
1075,transit
1076,transit
1077,transit
1078,transit
1079,transit
1080,transit
1081,transit
1082,transit
1083,transit
1084,transit
1085,transit
1086,transit
1087,transit
1088,transit
1089,transit
1090,transit
1091,transit
1092,transit
1093,transit
1094,stable
1095,transit
1096,transit
1097,transit
1098,transit
1099,transit
1100,transit
1101,transit
1102,transit
1103,transit
1104,transit
1105,transit
1106,transit
1107,transit
1108,transit
1109,transit
1110,transit
1111,transit
1112,transit
1113,transit
1114,transit
1115,transit
1116,transit
1117,transit
1118,transit
1119,transit
1120,transit
1121,transit
1122,transit
1123,transit
1124,transit
1125,stable
1126,transit
1127,transit
1128,transit
1129,transit
1130,transit
1131,transit
1132,transit
1133,transit
1134,transit
1135,transit
1136,transit
1137,transit
1138,transit
1139,transit
1140,transit
1141,transit
1142,transit
1143,transit
1144,transit
1145,transit
1146,transit
1147,transit
1148,transit
1149,stable
1150,transit
1151,transit
1152,transit
1153,transit
1154,transit
1155,transit
1156,transit
1157,transit
1158,transit
1159,transit
1160,transit
1161,transit
1162,transit
1163,transit
1164,transit
1165,transit
1166,transit
1167,transit
1168,transit
1169,transit
1170,transit
1171,transit
1172,transit
1173,stable
1174,transit
1175,transit
1176,transit
1177,transit
1178,transit
1179,transit
1180,transit
1181,transit
1182,transit
1183,transit
1184,transit
1185,transit
1186,transit
1187,transit
1188,transit
1189,transit
1190,stable
1191,transit
1192,transit
1193,transit
1194,transit
1195,stable
1196,transit
1197,transit
1198,transit
1199,transit
1200,transit
1201,transit
1202,transit
1203,transit
1204,transit
1205,transit
1206,transit
1207,transit
1208,transit
1209,transit
1210,transit
1211,transit
1212,transit
1213,transit
1214,transit
1215,transit
1216,transit
1217,transit
1218,transit
1219,transit
1220,transit
1221,transit
1222,transit
1223,stable
1224,transit
1225,transit
1226,transit
1227,transit
1228,transit
1229,transit
1230,transit
1231,transit
1232,transit
1233,transit
1234,transit
1235,transit
1236,transit
1237,transit
1238,transit
1239,transit
1240,transit
1241,transit
1242,transit
1243,transit
1244,transit
1245,transit
1246,transit
1247,stable
1248,transit
1249,transit
1250,transit
1251,transit
1252,transit
1253,transit
1254,transit
1255,transit
1256,transit
1257,transit
1258,transit
1259,transit
1260,transit
1261,transit
1262,transit
1263,transit
1264,transit
1265,transit
1266,transit
1267,transit
1268,transit
1269,transit
1270,transit
1271,transit
1272,transit
1273,stable
1274,transit
1275,transit
1276,transit
1277,transit
1278,transit
1279,transit
1280,transit
1281,transit
1282,transit
1283,transit
1284,transit
1285,transit
1286,transit
1287,transit
1288,transit
1289,transit
1290,transit
1291,transit
1292,stable
1293,transit
1294,transit
1295,stable
1296,transit
1297,transit
1298,transit
1299,transit
1300,transit
1301,transit
1302,transit
1303,transit
1304,transit
1305,transit
1306,transit
1307,transit
1308,transit
1309,transit
1310,transit
1311,transit
1312,transit
1313,transit
1314,transit
1315,stable
1316,transit
1317,stable
1318,transit
1319,transit
1320,transit
1321,transit
1322,transit
1323,transit
1324,transit
1325,transit
1326,transit
1327,transit
1328,transit
1329,transit
1330,transit
1331,stable
1332,transit
1333,transit
1334,transit
1335,transit
1336,transit
1337,transit
1338,transit
1339,transit
1340,transit
1341,transit
1342,transit
1343,transit
1344,transit
1345,stable
1346,transit
1347,transit
1348,stable
1349,transit
1350,transit
1351,transit
1352,transit
1353,transit
1354,transit
1355,transit
1356,transit
1357,transit
1358,transit
1359,transit
1360,transit
1361,transit
1362,transit
1363,transit
1364,transit
1365,transit
1366,transit
1367,transit
1368,transit
1369,transit
1370,transit
1371,transit
1372,transit
1373,transit
1374,transit
1375,transit
1376,transit
1377,transit
1378,transit
1379,transit
1380,transit
1381,transit
1382,transit
1383,transit
1384,transit
1385,transit
1386,transit
1387,transit
1388,transit
1389,transit
1390,transit
1391,transit
1392,transit
1393,transit
1394,transit
1395,transit
1396,transit
1397,transit
1398,transit
1399,transit
1400,transit
1401,transit
1402,transit
1403,stable
1404,transit
1405,transit
1406,transit
1407,transit
1408,stable
1409,transit
1410,transit
1411,transit
1412,transit
1413,transit
1414,transit
1415,transit
1416,transit
1417,transit
1418,transit
1419,transit
1420,transit
1421,transit
1422,transit
1423,transit
1424,transit
1425,transit
1426,transit
1427,transit
1428,transit
1429,transit
1430,transit
1431,transit
1432,transit
1433,transit
1434,transit
1435,stable
1436,transit
1437,transit
1438,transit
1439,transit
1440,transit
1441,transit
1442,transit
1443,transit
1444,transit
1445,transit
1446,transit
1447,transit
1448,transit
1449,transit
1450,stable
1451,stable
1452,transit
1453,transit
1454,transit
1455,transit
1456,transit
1457,transit
1458,transit
1459,transit
1460,transit
1461,transit
1462,transit
1463,transit
1464,transit
1465,transit
1466,transit
1467,transit
1468,transit
1469,transit
1470,transit
1471,transit
1472,transit
1473,transit
1474,transit
1475,transit
1476,transit
1477,transit
1478,transit
1479,transit
1480,transit
1481,transit
1482,transit
1483,transit
1484,transit
1485,transit
1486,transit
1487,transit
1488,transit
1489,transit
1490,transit
1491,transit
1492,transit
1493,transit
1494,transit
1495,transit
1496,transit
1497,transit
1498,transit
1499,transit
